item	roi	word	surprisal	retrieval
220	6	अम_अह	0.93295	123.30855296529046
220	7	।	0.00508	197.78527964379396
228	1	अपने	0.27890	51.0
228	2	बीवी	0.92678	51.0
228	3	के	0.01827	123.30855296529043
228	4	साथ	0.14588	197.78527964379387
228	5	आएगा	0.20419	496.09910484705836
228	6	।	0.00360	123.30855296529046
236	1	नीलिमा	0.72029	51.0
236	2	।	0.37406	123.30855296529043
244	1	इस	0.07449	51.0
244	2	बार	0.92823	174.30855296529043
244	3	।	0.30188	123.30855296529043
252	1	ह्म	0.08689	101.0
252	2	।	0.00378	123.30855296529043
260	1	हाँ	0.90504	101.0
260	2	इस	0.27647	51.0
260	3	बार	0.89567	174.30855296529046
260	4	बीवी	0.81374	51.0
260	5	के	0.01636	123.30855296529046
260	6	साथ	0.12989	197.78527964379384
260	7	यहाँ	0.75725	101.0
260	8	पर	0.04495	145.6171059305808
260	9	थोड़ा	0.53532	101.0
260	10	घूमेगा	0.29044	930.0997330239484
260	11	।	0.01972	289.8650274734264
268	1	ह्म	0.08689	101.0
268	2	।	0.00378	123.30855296529043
276	1	ग्रैंड	0.16879	51.0
276	2	कैनियन	1.23981	224.30855296529046
276	3	सब	0.51135	123.30855296529046
276	4	घूमेगा	0.17471	197.78527964379384
276	5	।	0.02220	215.17868526501138
284	1	बोल	0.29461	101.0
284	2	रहा	0.00291	123.30855296529043
284	3	है	0.00594	244.57055928758777
284	4	कि	0.13695	101.00000000000006
284	5	यूएस	0.29175	51.0
284	6	पूरा	0.59553	51.0
284	7	घूम	0.26350	903.4159759080007
284	8	के	0.00790	167.92565889587127
284	9	जाएगा	0.40260	355.9096562840525
284	10	वापस	1.77893	490.6327664835344
284	11	।	0.01206	309.9704259746245
292	1	[incomprehensible]	0.89742	51.0
292	2	।	0.95973	224.30855296529046
300	1	इस	0.28271	51.0
300	2	का	0.02286	123.30855296529043
300	3	मतलब	0.38682	101.00000000000003
300	4	लंबी	0.22520	51.0
300	5	छुट्टी	1.01172	196.6171059305808
300	6	पर	0.04649	145.6171059305808
300	7	आ	0.25851	683.5182161014853
300	8	रहा	0.00372	123.30855296529035
300	9	है	0.00631	244.57055928758768
300	10	।	0.00362	218.64204918486348
308	1	हाँ	0.90504	101.0
308	2	15	0.77782	51.0
308	3	20	1.60007	174.30855296529046
308	4	दिन	0.87646	174.30855296529046
308	5	की	0.02808	123.30855296529046
308	6	छुट्टी	0.88304	101.0
308	7	पर	0.04674	145.6171059305808
308	8	।	0.35790	200.05665267703762
316	1	पर_यूएस_सब	0.64106	51.0
316	2	आइ_मीन	1.71498	196.61710593058083
316	3	तब	0.97249	174.30855296529043
316	4	तो	0.10968	123.30855296529046
316	5	इतना	0.05446	101.0
316	6	ठंड	0.85736	174.30855296529046
316	7	होगा	0.17994	400.07994210601623
316	8	।	0.00336	123.30855296529035
324	1	आयोवा	0.72029	51.0
324	2	जा	0.19300	224.30855296529046
324	3	कर	0.00558	123.30855296529046
324	4	क्या	0.41551	197.78527964379384
324	5	करेगा	0.14702	279.35737053002276
324	6	।	0.06247	233.7341948981906
332	1	अबे	0.22310	101.0
332	2	लेकिन	0.61001	51.0
332	3	नवम्बर	0.45130	51.0
332	4	में	0.05055	123.30855296529046
332	5	कैलिफ़ोर्निया_देर_शुड_नॉट_बी_दैट_कोल्ड	0.23799	101.0
332	6	।	0.96767	286.6769064203154
340	1	नो	0.76012	51.0
340	2	कैलिफ़ोर्निया	1.10241	224.30855296529046
340	3	तो	0.00871	123.30855296529046
340	4	ठीक	0.26944	197.78527964379384
340	5	है	0.84108	215.17868526501138
340	6	।	0.01029	229.8585718968219
348	1	बट_ही_वॉन्ट्स_टू_गो	0.64106	51.0
348	2	ये	0.45729	51.0
348	3	आयोवा	1.67677	445.92912833426476
348	4	।	0.01166	123.30855296529046
356	1	शिकागो	0.72029	51.0
356	2	।	0.37406	123.30855296529043
364	1	सब	0.38762	51.0
364	2	हाँ	0.37322	224.30855296529046
364	3	।	0.03011	123.30855296529046
372	1	सब_जगह_जाना	0.64106	51.0
372	2	सब_से	0.73321	51.0
372	3	ह्म	0.20725	372.1980044095982
372	4	।	0.02573	123.30855296529046
380	1	हैं	0.04806	101.0
380	2	।	0.00374	123.30855296529043
388	1	अच्छा	0.23211	101.0
388	2	ये	0.60498	123.30855296529043
388	3	नहीं	0.74371	123.30855296529043
388	4	बताया	0.11549	263.29007342499136
388	5	।	0.04857	228.21006664275706
396	1	कार	0.47101	51.0
396	2	से	0.02859	123.30855296529043
396	3	कार	0.75561	101.00000000000003
396	4	से	0.02887	145.6171059305808
396	5	।	0.35753	200.05665267703773
404	1	कार	0.47101	51.0
404	2	से	0.02859	123.30855296529043
404	3	।	0.33810	197.78527964379387
412	1	पागल	0.65209	101.0
412	2	हो	0.05518	123.30855296529043
412	3	गया	0.01437	123.30855296529043
412	4	होगा	0.01647	244.57055928758774
412	5	वो	0.46864	101.0
412	6	।	0.88446	123.30855296529046
420	1	रेंटल	0.15458	51.0
420	2	मैं	0.67108	174.30855296529043
420	3	ने	0.03317	123.30855296529043
420	4	रेंटल	0.20711	101.0
420	5	बुक	1.41210	387.67690642031533
420	6	कर	0.12257	123.30855296529046
420	7	दिया	0.01073	123.30855296529035
420	8	ऑलरेडी	1.15895	197.78527964379396
420	9	[pause]	0.38150	101.0
420	10	तो	1.70848	300.5965124588324
420	11	।	0.18507	299.6355911961632
428	1	लेकिन	0.07597	51.0
428	2	इतना	0.25258	51.0
428	3	चलाने	0.25652	372.1980044095982
428	4	में	0.00161	123.30855296529046
428	5	तो	0.00877	197.78527964379384
428	6	काफ़ी	0.73755	215.17868526501138
428	7	लगेगी	0.19310	308.7171437936439
428	8	भाई	0.79489	145.61710593058092
428	9	।	0.07295	306.5466807662667
436	1	हाँ	0.18068	101.0
436	2	वो	0.97487	51.0
436	3	सोच	0.14858	271.1980044095982
436	4	रहा	0.01389	123.30855296529046
436	5	है	0.01064	244.57055928758768
436	6	मैं	0.60418	101.0
436	7	आ	0.22818	407.78892381197034
436	8	सकता	0.00786	167.92565889587127
436	9	हूँ	0.00727	355.9096562840525
436	10	।	0.12032	388.01090605864215
444	1	मेरे	0.14424	51.0
444	2	पास	0.19515	123.30855296529043
444	3	उतना	0.09353	101.00000000000003
444	4	छुट्टी	1.97257	337.6769064203154
444	5	नहीं	0.37411	51.0
444	6	है	1.29253	271.1980044095982
444	7	कि	0.05520	101.0
444	8	उस	0.11783	51.0
444	9	के	0.01974	123.30855296529035
444	10	साथ	0.17358	244.57055928758768
444	11	घूम	0.35007	999.1649372779598
444	12	सकूँ	0.00414	123.30855296529035
444	13	।	0.00394	197.78527964379373
452	1	इंडिया	0.62166	51.0
452	2	जा	0.19442	224.30855296529046
452	3	रहे	0.00399	123.30855296529046
452	4	हो	0.00537	244.57055928758768
452	5	।	0.00593	218.64204918486348
460	1	नहीं	0.76841	51.0
460	2	इंडिया	0.43861	51.0
460	3	भी	0.12242	123.30855296529043
460	4	नहीं	0.57474	101.00000000000003
460	5	जा	0.14268	566.0181942237117
460	6	रहा	0.00370	123.30855296529046
460	7	अभी	0.66169	197.78527964379361
460	8	।	0.01037	215.17868526501138
468	1	क्यों	0.70586	101.0
468	2	।	0.00494	123.30855296529043
476	1	जाऊँगा	0.27803	101.0
476	2	कभी	0.36996	123.30855296529043
476	3	।	0.00621	197.78527964379387
484	1	ह्म	0.08689	101.0
484	2	।	0.00378	123.30855296529043
491	1	शादी	0.45443	51.0
491	2	वादी	0.81016	51.0
491	3	नहीं	0.58826	51.0
491	4	हो	0.10624	537.5364587679538
491	5	रही	0.00361	123.30855296529046
491	6	क्या	0.37117	197.78527964379384
491	7	।	0.00934	215.1786852650115
499	1	जब	0.24000	51.0
499	2	होगी	0.19158	224.30855296529046
499	3	तब	0.37907	145.6171059305808
499	4	जाऊँगा	0.10494	249.11330535407546
499	5	।	0.05217	220.5519152879133
507	1	हाँ	0.18068	101.0
507	2	।	0.00491	123.30855296529043
515	1	अच्छा	0.23211	101.0
515	2	।	0.00211	123.30855296529043
523	1	लड़कियाँ	0.51365	51.0
523	2	वड़कियाँ	0.79265	51.0
523	3	ढ़ूँढ	0.20701	372.1980044095982
523	4	रखी	0.00357	123.30855296529046
523	5	है	0.00684	244.57055928758768
523	6	कि	0.14466	101.0
523	7	नहीं	0.11067	51.0
523	8	घर	0.47861	51.0
523	9	में	0.02238	123.30855296529035
523	10	।	0.32184	197.78527964379373
531	1	ढ़ूँढ_के_र	0.64106	51.0
531	2	ढ़ूँढ	0.28812	224.30855296529046
531	3	रहे	0.00377	123.30855296529046
